id,type,price,a_min,a_max,search
45442,XT1C160R63,126.06,42.5,53.55,cb 3p 63a 25ka 
45512,XT1C160R63,164.75,42.5,53.55,cb 4p 63a 25ka 
45443,XT1C160R80,126.06,53.55,68,cb 3p 80a 25ka 
45513,XT1C160R80,164.75,53.55,68,cb 4p 80a 25ka 
45435,XT1C160R100,126.06,68,85,cb 3p 100a 25ka 
45503,XT1C160R100,164.75,68,85,cb 4p 100a 25ka 
45436,XT1C160R125,159.33,85,106.25,cb 3p 125a 25ka 
45504,XT1C160R125,209.74,85,106.25,cb 4p 125a 25ka 
45505,XT1C160R125,209.74,85,106.25,cb 4p(N=50%) 125a 25ka 
45437,XT1C160R160,195.78,106.25,136,cb 3p 160a 25ka 
45506,XT1C160R160,255.08,106.25,136,cb 4p 160a 25ka 
45507,XT1C160R160,255.08,106.25,136,cb 4p(N=50%) 160a 25ka 
79878,XT1N160R16,142.76,0,13.6,cb 3p 16a 36ka 
79892,XT1N160R16,192.06,0,13.6,cb 4p 16a 36ka 
79879,XT1N160R20,142.76,13.6,17,cb 3p 20a 36ka 
79893,XT1N160R20,192.06,13.6,17,cb 4p 20a 36ka 
79880,XT1N160R25,142.76,17,21.25,cb 3p 25a 36ka 
79894,XT1N160R25,192.06,17,21.25,cb 4p 25a 36ka 
45453,XT1N160R32,142.76,21.25,27.2,cb 3p 32a 36ka 
45527,XT1N160R32,192.06,21.25,27.2,cb 4p 32a 36ka 
45454,XT1N160R40,142.76,27.2,34,cb 3p 40a 36ka 
45528,XT1N160R40,192.06,27.2,34,cb 4p 40a 36ka 
45455,XT1N160R50,142.76,34,42.5,cb 3p 50a 36ka 
45529,XT1N160R50,192.06,34,42.5,cb 4p 50a 36ka 
45456,XT1N160R63,142.76,42.5,53.55,cb 3p 63a 36ka 
45530,XT1N160R63,192.06,42.5,53.55,cb 4p 63a 36ka 
45457,XT1N160R80,142.76,53.55,68,cb 3p 80a 36ka 
45531,XT1N160R80,192.06,53.55,68,cb 4p 80a 36ka 
45450,XT1N160R100,142.76,68,85,cb 3p 100a 36ka 
45522,XT1N160R100,192.06,68,85,cb 4p 100a 36ka 
45451,XT1N160R125,198.89,85,106.25,cb 3p 125a 36ka 
45523,XT1N160R125,265.93,85,106.25,cb 4p 125a 36ka 
45524,XT1N160R125,265.93,85,106.25,cb 4p(N=50%) 125a 36ka 
45452,XT1N160R160,214.42,106.25,136,cb 3p 160a 36ka 
45525,XT1N160R160,278.08,106.25,136,cb 4p 160a 36ka 
45526,XT1N160R160,278.08,106.25,136,cb 4p(N=50%) 160a 36ka 
79881,XT1S160R16,200.58,0,13.6,cb 3p 16a 50ka 
79895,XT1S160R16,250.42,0,13.6,cb 4p 16a 50ka 
79882,XT1S160R20,200.58,13.6,17,cb 3p 20a 50ka 
79896,XT1S160R20,250.42,13.6,17,cb 4p 20a 50ka 
79866,XT1S160R25,200.58,17,21.25,cb 3p 25a 50ka 
79897,XT1S160R25,250.42,17,21.25,cb 4p 25a 50ka 
79883,XT1S160R32,200.58,21.25,27.2,cb 3p 32a 50ka 
79898,XT1S160R32,250.42,21.25,27.2,cb 4p 32a 50ka 
79884,XT1S160R40,200.58,27.2,34,cb 3p 40a 50ka 
79899,XT1S160R40,250.42,27.2,34,cb 4p 40a 50ka 
45461,XT1S160R50,200.58,34,42.5,cb 3p 50a 50ka 
45537,XT1S160R50,250.42,34,42.5,cb 4p 50a 50ka 
45462,XT1S160R63,207.26,42.5,53.55,cb 3p 63a 50ka 
45538,XT1S160R63,259.81,42.5,53.55,cb 4p 63a 50ka 
45463,XT1S160R80,207.26,53.55,68,cb 3p 80a 50ka 
45539,XT1S160R80,259.81,53.55,68,cb 4p 80a 50ka 
45458,XT1S160R100,211.72,68,85,cb 3p 100a 50ka 
45532,XT1S160R100,264.50,68,85,cb 4p 100a 50ka 
45459,XT1S160R125,275.66,85,106.25,cb 3p 125a 50ka 
45533,XT1S160R125,363.62,85,106.25,cb 4p 125a 50ka 
45534,XT1S160R125,363.62,85,106.25,cb 4p(N=50%) 125a 50ka 
45460,XT1S160R160,347.31,106.25,136,cb 3p 160a 50ka 
45535,XT1S160R160,440.45,106.25,136,cb 4p 160a 50ka 
45536,XT1S160R160,440.45,106.25,136,cb 4p(N=50%) 160a 50ka 
79885,XT1H160R16,228.36,0,13.6,cb 3p 16a 70ka 
79900,XT1H160R16,283.84,0,13.6,cb 4p 16a 70ka 
79886,XT1H160R20,228.36,13.6,17,cb 3p 20a 70ka 
